5001  0.0100000000	
0	0
0.01	0.025128607
0.02	0.050232416
0.03	0.075286651
0.04	0.100266587
0.05	0.125147572
0.06	0.149905052
0.07	0.174514593
0.08	0.19895191
0.09	0.223192885
0.1	0.247213595
0.11	0.270990336
0.12	0.294499642
0.13	0.317718313
0.14	0.340623433
0.15	0.3631924
0.16	0.385402939
0.17	0.407233133
0.18	0.428661436
0.19	0.449666702
0.2	0.470228202
0.21	0.490325643
0.22	0.509939192
0.23	0.529049492
0.24	0.547637685
0.25	0.565685425
0.26	0.583174902
0.27	0.600088856
0.28	0.616410594
0.29	0.63212401
0.3	0.647213595
0.31	0.661664459
0.32	0.67546234
0.33	0.688593622
0.34	0.701045344
0.35	0.712805219
0.36	0.723861642
0.37	0.734203701
0.38	0.743821189
0.39	0.752704615
0.4	0.760845213
0.41	0.768234949
0.42	0.774866529
0.43	0.78073341
0.44	0.785829801
0.45	0.790150672
0.46	0.793691761
0.47	0.796449572
0.48	0.798421383
0.49	0.799605248
0.5	0.8
0.51	0.799605248
0.52	0.798421383
0.53	0.796449572
0.54	0.793691761
0.55	0.790150672
0.56	0.785829801
0.57	0.78073341
0.58	0.774866529
0.59	0.768234949
0.6	0.760845213
0.61	0.752704615
0.62	0.743821189
0.63	0.734203701
0.64	0.723861642
0.65	0.712805219
0.66	0.701045344
0.67	0.688593622
0.68	0.67546234
0.69	0.661664459
0.7	0.647213595
0.71	0.63212401
0.72	0.616410594
0.73	0.600088856
0.74	0.583174902
0.75	0.565685425
0.76	0.547637685
0.77	0.529049492
0.78	0.509939192
0.79	0.490325643
0.8	0.470228202
0.81	0.449666702
0.82	0.428661436
0.83	0.407233133
0.84	0.385402939
0.85	0.3631924
0.86	0.340623433
0.87	0.317718313
0.88	0.294499642
0.89	0.270990336
0.9	0.247213595
0.91	0.223192885
0.92	0.19895191
0.93	0.174514593
0.94	0.149905052
0.95	0.125147572
0.96	0.100266587
0.97	0.075286651
0.98	0.050232416
0.99	0.025128607
1	9.80119E-17
1.01	-0.025128607
1.02	-0.050232416
1.03	-0.075286651
1.04	-0.100266587
1.05	-0.125147572
1.06	-0.149905052
1.07	-0.174514593
1.08	-0.19895191
1.09	-0.223192885
1.1	-0.247213595
1.11	-0.270990336
1.12	-0.294499642
1.13	-0.317718313
1.14	-0.340623433
1.15	-0.3631924
1.16	-0.385402939
1.17	-0.407233133
1.18	-0.428661436
1.19	-0.449666702
1.2	-0.470228202
1.21	-0.490325643
1.22	-0.509939192
1.23	-0.529049492
1.24	-0.547637685
1.25	-0.565685425
1.26	-0.583174902
1.27	-0.600088856
1.28	-0.616410594
1.29	-0.63212401
1.3	-0.647213595
1.31	-0.661664459
1.32	-0.67546234
1.33	-0.688593622
1.34	-0.701045344
1.35	-0.712805219
1.36	-0.723861642
1.37	-0.734203701
1.38	-0.743821189
1.39	-0.752704615
1.4	-0.760845213
1.41	-0.768234949
1.42	-0.774866529
1.43	-0.78073341
1.44	-0.785829801
1.45	-0.790150672
1.46	-0.793691761
1.47	-0.796449572
1.48	-0.798421383
1.49	-0.799605248
1.5	-0.8
1.51	-0.799605248
1.52	-0.798421383
1.53	-0.796449572
1.54	-0.793691761
1.55	-0.790150672
1.56	-0.785829801
1.57	-0.78073341
1.58	-0.774866529
1.59	-0.768234949
1.6	-0.760845213
1.61	-0.752704615
1.62	-0.743821189
1.63	-0.734203701
1.64	-0.723861642
1.65	-0.712805219
1.66	-0.701045344
1.67	-0.688593622
1.68	-0.67546234
1.69	-0.661664459
1.7	-0.647213595
1.71	-0.63212401
1.72	-0.616410594
1.73	-0.600088856
1.74	-0.583174902
1.75	-0.565685425
1.76	-0.547637685
1.77	-0.529049492
1.78	-0.509939192
1.79	-0.490325643
1.8	-0.470228202
1.81	-0.449666702
1.82	-0.428661436
1.83	-0.407233133
1.84	-0.385402939
1.85	-0.3631924
1.86	-0.340623433
1.87	-0.317718313
1.88	-0.294499642
1.89	-0.270990336
1.9	-0.247213595
1.91	-0.223192885
1.92	-0.19895191
1.93	-0.174514593
1.94	-0.149905052
1.95	-0.125147572
1.96	-0.100266587
1.97	-0.075286651
1.98	-0.050232416
1.99	-0.025128607
2	-1.96024E-16
2.01	0.025128607
2.02	0.050232416
2.03	0.075286651
2.04	0.100266587
2.05	0.125147572
2.06	0.149905052
2.07	0.174514593
2.08	0.19895191
2.09	0.223192885
2.1	0.247213595
2.11	0.270990336
2.12	0.294499642
2.13	0.317718313
2.14	0.340623433
2.15	0.3631924
2.16	0.385402939
2.17	0.407233133
2.18	0.428661436
2.19	0.449666702
2.2	0.470228202
2.21	0.490325643
2.22	0.509939192
2.23	0.529049492
2.24	0.547637685
2.25	0.565685425
2.26	0.583174902
2.27	0.600088856
2.28	0.616410594
2.29	0.63212401
2.3	0.647213595
2.31	0.661664459
2.32	0.67546234
2.33	0.688593622
2.34	0.701045344
2.35	0.712805219
2.36	0.723861642
2.37	0.734203701
2.38	0.743821189
2.39	0.752704615
2.4	0.760845213
2.41	0.768234949
2.42	0.774866529
2.43	0.78073341
2.44	0.785829801
2.45	0.790150672
2.46	0.793691761
2.47	0.796449572
2.48	0.798421383
2.49	0.799605248
2.5	0.8
2.51	0.799605248
2.52	0.798421383
2.53	0.796449572
2.54	0.793691761
2.55	0.790150672
2.56	0.785829801
2.57	0.78073341
2.58	0.774866529
2.59	0.768234949
2.6	0.760845213
